HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
,총계,"              20,625.5","             769,078","              26,130.5","             940,351","            -171,273"
8424202010,2022.01,                  32.3,"               2,897",                   4.6,                  88,"               2,809"
8427103000,2022.01,                   0.0,                   0,                  20.7,                 516,                -516
8428701000,2022.01,                   0.0,                   0,                   0.1,                   1,                  -1
8428702000,2022.01,                   0.0,                   0,                   0.3,                  27,                 -27
8428709000,2022.01,                   3.6,                 110,                   4.8,                 107,                   3
8479501000,2022.01,                  19.4,                 760,                  20.0,"               1,025",                -265
8479502000,2022.01,                   0.0,                   0,                   0.0,                   0,                   0
8479509000,2022.01,                 274.9,"              11,309",                 319.0,"              10,234","               1,074"
8479892010,2022.01,                 444.5,"              21,081",                  90.2,"               4,979","              16,103"
8479892090,2022.01,                  22.1,                 232,                   1.1,                  54,                 178
8508111000,2022.01,                  34.9,"               2,212",                 257.8,"               9,781","              -7,570"
8508192000,2022.01,                   0.0,                   0,                   0.5,                  15,                 -15
8515211010,2022.01,                  91.8,"               5,191",                   0.9,                  23,"               5,168"
8515213010,2022.01,                   0.0,                   0,                   0.8,                  18,                 -18
8515219010,2022.01,                  17.9,                 595,                   0.5,                  50,                 545
8515311010,2022.01,                  60.0,                 101,                   6.6,                 300,                -199
8515319010,2022.01,                   1.6,                  65,                   1.3,                 209,                -143
8424202010,2022.02,                   9.9,                 462,                   0.0,                   0,                 462
8427103000,2022.02,                   0.0,                   0,                  27.9,                 675,                -675
8428701000,2022.02,                   0.0,                   0,                  14.2,                 226,                -226
8428702000,2022.02,                   5.3,                 345,                   0.9,                  93,                 252
8428709000,2022.02,                   2.4,                 377,                  14.5,                 514,                -137
8479501000,2022.02,                   8.1,                 419,                  74.9,"               1,356",                -937
8479509000,2022.02,                 467.3,"              22,773",                 378.8,"              12,368","              10,405"
8479892010,2022.02,                 645.2,"              26,595",                 181.1,"              10,907","              15,688"
8479892090,2022.02,                  18.8,"               1,033",                 104.5,"               8,687","              -7,654"
8508111000,2022.02,                  23.1,"               1,617",                 308.2,"              10,821","              -9,204"
8508192000,2022.02,                   0.0,                   0,                   0.2,                   7,                  -7
8515211010,2022.02,                  11.2,                 243,                  34.0,                 757,                -514
8515219010,2022.02,                  20.8,"               1,097",                   0.8,                   9,"               1,088"
8515311010,2022.02,                   0.0,                   0,                  11.8,                 794,                -794
8515319010,2022.02,                   0.0,                   0,                   4.4,                 381,                -381
8427103000,2022.03,                   5.6,                 425,                  72.9,"               1,619","              -1,194"
8428701000,2022.03,                   0.0,                   0,                   7.5,                 146,                -146
8428702000,2022.03,                   5.3,                 341,                  25.2,                 972,                -631
8428709000,2022.03,                   2.4,                  20,                   8.7,"               1,041","              -1,021"
8479501000,2022.03,                  15.5,                 196,                   6.5,                 992,                -796
8479502000,2022.03,                   1.6,                 211,                   0.0,                   0,                 211
8479509000,2022.03,                 759.9,"              30,077",                 848.1,"              19,432","              10,644"
8479892010,2022.03,                 630.1,"              26,179",                 148.6,"              10,649","              15,530"
8479892090,2022.03,                  12.5,                 224,                   0.1,                  21,                 203
8508111000,2022.03,                  14.1,                 885,                 270.8,"              10,691","              -9,806"
8508192000,2022.03,                   0.0,                   0,                  17.9,                 146,                -146
8515211010,2022.03,                  15.0,                 742,                  31.7,                 734,                   7
8515213010,2022.03,                   0.0,                   0,                   0.6,                  19,                 -19
8515219010,2022.03,                   0.6,                  41,                  19.5,                 377,                -337
8515311010,2022.03,                 118.1,"               1,428",                  17.9,                 929,                 499
8515319010,2022.03,                   0.1,                   0,                   0.9,                  68,                 -68
8424202010,2022.04,                   2.2,"               1,049",                   0.0,                   0,"               1,048"
8427103000,2022.04,                  78.8,"               4,638",                  69.4,"               1,418","               3,219"
8428701000,2022.04,                   0.0,                   0,                   5.8,                 208,                -208
8428702000,2022.04,                   0.0,                   0,                  55.8,"               2,315","              -2,315"
8428709000,2022.04,                   6.0,                 653,                  23.8,                 888,                -235
8479501000,2022.04,                  28.0,                 177,                   5.2,                 589,                -411
8479502000,2022.04,                   0.0,                   0,                   0.1,                  52,                 -52
8479509000,2022.04,                 265.3,"               9,144",                 433.1,"              13,525","              -4,381"
8479892010,2022.04,                 562.8,"              21,927",                 169.9,"              11,899","              10,028"
8479892090,2022.04,                  68.2,                 586,                   3.9,                 104,                 481
8508111000,2022.04,                  20.3,"               1,333",                 348.8,"              14,208","             -12,876"
8508192000,2022.04,                   0.0,                   0,                   4.3,                  96,                 -96
8515211010,2022.04,                  37.9,"               1,967",                  63.8,"               1,171",                 796
8515212010,2022.04,                   0.1,                  30,                   0.0,                   0,                  30
8515219010,2022.04,                   8.1,                 534,                   3.0,                 341,                 192
8515311010,2022.04,                   0.4,                  17,                   2.6,                 152,                -135
8515319010,2022.04,                   0.1,                   6,                  17.6,                 626,                -620
8424202010,2022.05,                  12.1,"               1,197",                   0.1,                   9,"               1,188"
8427103000,2022.05,                  34.2,                 703,                   5.9,                 414,                 289
8428701000,2022.05,                  20.3,"               1,682",                  15.3,                 524,"               1,158"
8428702000,2022.05,                   0.0,                   0,                  75.4,"               3,063","              -3,063"
8428709000,2022.05,                  96.8,"               5,721",                  37.4,                 781,"               4,940"
8479501000,2022.05,                  12.9,                 131,                   8.5,                 902,                -771
8479509000,2022.05,                 411.1,"              18,436",                 324.6,"              11,326","               7,110"
8479892010,2022.05,                 559.2,"              21,576",                 192.8,"              18,865","               2,711"
8479892090,2022.05,                  11.1,                 100,                  42.1,"               2,149","              -2,049"
8508111000,2022.05,                  17.1,"               1,119",                 414.3,"              18,268","             -17,149"
8508192000,2022.05,                   0.0,                   2,                   6.4,                  74,                 -71
8515211010,2022.05,                   8.6,                 543,                  45.0,                 823,                -279
8515219010,2022.05,                   0.3,                  61,                   8.8,                 705,                -644
8515311010,2022.05,                 102.4,"               1,770",                  30.0,"               1,025",                 745
8515319010,2022.05,                   0.0,                   0,                   1.2,                  57,                 -57
8424202010,2022.06,                   3.8,                 293,                  27.7,"               3,286","              -2,993"
8427103000,2022.06,                  57.5,"               3,354",                   2.9,                 102,"               3,252"
8428701000,2022.06,                   5.4,                 356,                   0.7,                  31,                 325
